gid	GO
FBgn0079820	GO:0005912, GO:0048749, GO:0016324, GO:0003674
FBgn0247827	GO:0005634, GO:0006355, GO:0009952, GO:0003700, GO:0043565, GO:0008406, GO:0007422, GO:0035224, GO:0007506, GO:0008354, GO:0007280, GO:0008406, GO:0003700, GO:0005634, GO:0008354, GO:0007494, GO:0003700, GO:0007385, GO:0005634, GO:0007438, GO:0035053, GO:0035053, GO:0007507, GO:0007501, GO:0007501, GO:0035053, GO:0007399, GO:0006915, GO:0035053, GO:0009987, GO:0007400, GO:0035225, GO:0007399, GO:0006915, GO:0048806, GO:0035053, GO:0010002, GO:0048738, GO:0005667, GO:0003705, GO:0005634, GO:0005667, GO:0014019, GO:0048636, GO:0045944, GO:0043565, GO:0003705, GO:0042694
FBgn0071172	GO:0005634, GO:0005634, GO:0008406, GO:0035224, GO:0000980, GO:0007506, GO:0008354, GO:0007280, GO:0003700, GO:0005634, GO:0008354, GO:0035277, GO:0007494, GO:0003700, GO:0008595, GO:0005634, GO:0007385, GO:0035215, GO:0045705, GO:0048071, GO:1902339, GO:0007379, GO:0009997, GO:0045843, GO:0007484, GO:0048066, GO:0007548, GO:0048087, GO:0045705, GO:0007507, GO:0048071, GO:0007431, GO:0008584, GO:0007506, GO:0035225, GO:0035263, GO:0035261, GO:0030540, GO:0030539, GO:0045944, GO:0003700, GO:0048094, GO:0007385, GO:0007424, GO:0007385, GO:0007486, GO:0060439, GO:0000976, GO:0045944, GO:0007621, GO:0046693
FBgn0077903	GO:0004713, GO:0004713, GO:0007417, GO:0007411, GO:0007409, GO:0030424, GO:0004715, GO:0019897, GO:0005911, GO:0005927, GO:0005737, GO:0005515, GO:0005515, GO:0005912, GO:0005524, GO:0004713, GO:0005737, GO:0004715, GO:0007411, GO:0007411, GO:0007411, GO:0004713, GO:0004713, GO:0006468, GO:0003382, GO:0007391, GO:0008360, GO:0002009, GO:0005912, GO:0007391, GO:0008064, GO:0007411, GO:0016199, GO:0008360, GO:0005524, GO:0008360, GO:0007370, GO:0045179, GO:0008045, GO:0005829, GO:0004713, GO:0031647, GO:0032880, GO:0018108, GO:0007419, GO:0007411, GO:0018108, GO:0046827, GO:0007419, GO:0048749, GO:0004713, GO:0072499, GO:0072499, GO:0007303, GO:0045886, GO:0007411, GO:0001764, GO:0003402, GO:0005515, GO:0005938
FBgn0079343	GO:0048477, GO:0005634, GO:0003682, GO:0005700, GO:0000122
FBgn0077701	GO:0048477, GO:0046982, GO:0005667, GO:0006355, GO:0046982, GO:0003700, GO:0003677, GO:0007399, GO:0005634, GO:0061382, GO:0046982, GO:0043565, GO:0005634, GO:0003700, GO:0045893, GO:0003700, GO:0007422, GO:0007417, GO:0008407, GO:0061331, GO:0006355, GO:0008407, GO:0007422, GO:0007417, GO:0007400, GO:0007419, GO:0007399, GO:0007346, GO:0007422, GO:0008407, GO:0002805, GO:0007423
FBgn0074745	GO:0003990, GO:0042331, GO:0005886, GO:0005737, GO:0006581, GO:0003990, GO:0004104, GO:0042426, GO:0006581, GO:0003990, GO:0042803, GO:0003990, GO:0046683, GO:0006581, GO:0046681, GO:0045202, GO:0016020, GO:0003990, GO:0004104, GO:0007268, GO:0001507, GO:0005886, GO:0052689, GO:0007271
FBgn0247997	GO:0007636, GO:0003714, GO:0005634, GO:0003714, GO:0004722, GO:0005634, GO:0008039, GO:0045944, GO:0003700, GO:0048813, GO:0043565, GO:0048813, GO:0007411, GO:0070983, GO:0050911
FBgn0248239	GO:0003993
FBgn0248698	GO:0005887, GO:0004889, GO:0005892, GO:0005892, GO:0005892, GO:0006812, GO:0045211, GO:0017085, GO:0007271
FBgn0078138	GO:0005887, GO:0016907, GO:0007200, GO:0005887, GO:0016021, GO:0016907, GO:0007213, GO:0008227, GO:0016907, GO:0005887, GO:0016907
FBgn0070993	GO:0005892, GO:0004889, GO:0005887, GO:0004889, GO:0005892, GO:0006811, GO:0045211, GO:0007271
FBgn0079897	GO:0005892, GO:0004889, GO:0005887, GO:0005892, GO:0004889, GO:0005892, GO:0006812, GO:0005892, GO:0045211, GO:0007271
FBgn0077895	GO:0005200, GO:0005884, GO:0007010, GO:0005200, GO:0005884, GO:0000281, GO:0006909, GO:0005875
FBgn0246293	GO:0005200, GO:0005884, GO:0007010, GO:0005200, GO:0005884, GO:0000281, GO:0006909, GO:0005875
FBgn0080375	GO:0005200, GO:0005884, GO:0005884, GO:0005200, GO:0007010
FBgn0074904	GO:0005884, GO:0005884, GO:0007010, GO:0005200, GO:0005811
FBgn0245743	GO:0005884, GO:0005884, GO:0007010, GO:0005200, GO:0005811
FBgn0248103	GO:0005884, GO:0005884, GO:0007010, GO:0005200, GO:0005811
FBgn0081549	GO:0004642, GO:0006189, GO:0006189, GO:0004642
FBgn0012717	GO:0004637, GO:0009113, GO:0004644, GO:0004641, GO:0006189, GO:0004637, GO:0004644, GO:0004641, GO:0006189, GO:0004641, GO:0004637, GO:0005524, GO:0005737, GO:0046872, GO:0009113, GO:0008168
FBgn0074015	GO:0001077, GO:0005634, GO:0045944, GO:0005634, GO:0005634, GO:0006357, GO:0005634, GO:0005634, GO:0007416, GO:0007613, GO:0008355, GO:0008345, GO:0007611, GO:0045893, GO:0007616, GO:0003677, GO:0048813, GO:0040011, GO:0005705, GO:0050773
FBgn0243561	GO:0006066, GO:0004022, GO:0006117, GO:0004022, GO:0008774, GO:0006069, GO:0006117, GO:0008774, GO:0004022, GO:0006067, GO:0004022, GO:0046164, GO:0005829, GO:0004022, GO:0048149, GO:0004022, GO:0043234, GO:0042803, GO:0005811, GO:0005811, GO:0005875
FBgn0012689	GO:0005575, GO:0004022, GO:0055114
FBgn0078677	GO:0005975, GO:0005975, GO:0006629, GO:0009269, GO:0006629, GO:0010891, GO:0003674, GO:0005575, GO:0010891, GO:0010883
FBgn0077794	GO:0003700, GO:0006355, GO:0005634, GO:0003700, GO:0005634, GO:0007449, GO:0048800, GO:0000976, GO:0035015, GO:0045747, GO:0035218, GO:0022416, GO:0045892, GO:0007480, GO:0048800, GO:0043234
FBgn0080495	GO:0016321, GO:0032837, GO:0032837, GO:0016321, GO:0006468, GO:0004672, GO:0000278, GO:0005524, GO:0004674, GO:0006468, GO:0001666, GO:0007094, GO:0031577, GO:0000705, GO:0043060, GO:0016321, GO:0007143, GO:0000942, GO:0033316, GO:0007126, GO:0005813, GO:0000776, GO:0033046, GO:0005819
FBgn0079326	GO:0004332, GO:0006096, GO:0004332, GO:0004332, GO:0006096, GO:0007498, GO:0030018, GO:0031430, GO:0007095
FBgn0012690	GO:0005886, GO:0005886, GO:0007155, GO:0007155, GO:0003823
FBgn0046148	GO:0040003, GO:0006584, GO:0042417, GO:0040003, GO:0006584, GO:0004058, GO:0040003, GO:0006584, GO:0005575, GO:0006520, GO:0030170, GO:0019239, GO:0016831
FBgn0071475	GO:0007498, GO:0007398, GO:0003674, GO:0001713, GO:0045747, GO:0007220, GO:0046331, GO:0044214
FBgn0012692	GO:0004556, GO:0043169, GO:0005975, GO:0003824, GO:0005576
FBgn0012691	GO:0004556, GO:0043169, GO:0005975, GO:0003824, GO:0005576
FBgn0079088	GO:0005544, GO:0005509, GO:0005543, GO:0005509, GO:0003779, GO:0048190, GO:0012505, GO:0005938, GO:0010797, GO:0030011, GO:0032509, GO:0061467, GO:0005515, GO:0030507
FBgn0075427	GO:0007623, GO:0005615, GO:0003674
FBgn0076388	GO:0046580, GO:0005634, GO:0003700, GO:0003700, GO:0007391, GO:0007254, GO:0046533, GO:0045467, GO:0000165, GO:0005515, GO:0001709, GO:0000122, GO:0005737, GO:0005634, GO:0003705, GO:0007391, GO:0045596, GO:0007391, GO:0005634, GO:0045316, GO:0045892, GO:0043565, GO:0009987, GO:0060233, GO:0045610, GO:0007298, GO:0006897, GO:0048749, GO:0001751, GO:0045678, GO:0007298, GO:0048813, GO:0007517, GO:0048666, GO:0005634, GO:0048747, GO:0007298, GO:0007464, GO:0019904, GO:0008406, GO:0030178, GO:0050767, GO:0090175, GO:0035157, GO:0005634, GO:0035155
