ID_REF	M1M	M2M	M3M	E1M	E2M	E3M	M1F	M2F	M3F	E1F	E2F	E3F
FBtr0005009	13.78841394	13.86491463	13.65261781	13.67108398	13.85402145	13.74886969	13.44270855	13.30497943	13.42810772	13.13865057	13.14022572	12.88353357
FBtr0005088	12.55042286	12.40565161	12.24241262	12.17614793	12.32653322	12.31461292	12.87569912	12.99628041	12.85472185	12.3502783	12.78006072	11.33525161
FBtr0005673	5.414906749	7.578121307	9.345435409	9.49209052	7.74070229	9.226190834	7.31802303	9.443929829	9.507107611	11.4961332	10.71687724	11.58710584
FBtr0006151	8.378788605	7.983543747	8.630371978	9.307489775	9.537614068	8.198247594	8.234616757	8.640392091	8.442029914	9.198830773	8.850284369	9.303660442
FBtr0070000	11.15048695	10.81422876	10.0923322	9.824515684	9.923710172	10.18639718	10.73703815	10.28458909	9.910333024	9.323806208	9.657471197	9.602419762
FBtr0070002	10.86089927	11.93798097	12.20158388	12.46959975	12.30567763	12.29994003	7.195505089	6.598021226	7.074897141	5.848011935	6.967490272	9.695193485
FBtr0070003	5.440789454	5.155688526	4.146614495	4.499584425	5.804523433	5.11477512	6.041799308	5.736640049	5.439609841	5.430409061	5.518582347	7.684951951
FBtr0070005	6.160077133	6.765049346	6.629771882	7.189441107	6.779304377	6.367439215	7.413451918	7.343063986	7.252015364	8.228520984	8.234476891	7.563788866
FBtr0070006	12.60338456	12.46460961	11.99230463	11.8531172	12.32888144	12.03384326	12.27157455	11.58515039	11.60511773	10.3606835	11.03952769	8.772633598
FBtr0070007	11.13561265	10.8209802	10.60575997	10.62801285	11.45113691	10.86451567	11.41556506	11.25800133	11.07193967	10.8734205	10.95876222	11.26428038
FBtr0070008	10.71987888	10.83655521	10.70051411	10.77363137	11.3708911	10.731202	11.39158902	11.61035938	11.48705096	11.81754036	11.70374022	12.90949417
FBtr0070025	12.2624698	11.89485656	11.47388187	11.43248824	12.24979682	11.6423759	12.49381305	11.95129288	12.05448578	11.39534948	11.49918806	10.53437905
FBtr0070026	11.76407461	11.35988855	10.90189911	10.65418606	11.54460014	10.85524685	11.96578349	11.34320693	11.32930841	10.00444072	10.72351206	6.850130567
FBtr0070027	10.46553427	8.954194856	7.97004893	8.016472362	8.885815017	8.424050365	12.34276437	11.80565231	11.86205528	10.57633686	11.66432172	8.827723456
FBtr0070028	12.58537377	12.4436348	12.34814324	12.03391413	12.14876925	12.22493948	13.21958694	13.24080024	13.1913398	12.82685407	13.28868074	12.42530703
FBtr0070029	5.609388569	5.329482431	4.264724074	4.851988846	5.705983429	5.249145697	6.35279736	5.982605763	5.330106591	5.131371352	5.821995869	8.030646723
FBtr0070032	4.732052073	4.053319904	4.341153183	4.488797762	4.790563541	4.416947805	5.614491951	6.062192964	5.716960724	5.654011561	4.960831388	8.73264197
FBtr0070033	8.462205319	7.289775458	6.836389996	6.657742888	7.073619964	7.320018868	7.766381153	6.722067042	5.755029093	5.189334355	6.465579465	8.649400619
FBtr0070034	8.088831691	6.650866498	6.812087435	6.140210135	6.831442797	6.88656356	7.379878241	6.90590562	5.329392731	5.671582109	6.019541804	8.84541321
FBtr0070035	11.37447213	11.31905455	11.11677112	11.0914816	11.57130749	11.16640627	5.415603195	5.22494322	5.497350498	5.502515192	5.676673617	7.525016463
FBtr0070036	10.81234211	10.07763142	9.043771823	9.009485464	10.87821257	9.230989995	11.1161497	10.28248707	10.37077512	9.314987845	9.711831966	10.01924058
FBtr0070037	7.093413339	6.747450509	6.105072498	6.201445671	6.386162553	6.085987568	7.402347847	7.162131469	7.182615831	7.163171633	6.188254527	11.70878257
FBtr0070038	6.401167946	7.426185908	9.828616192	10.1290121	7.380097369	9.496495905	7.867971808	8.775773223	9.020487756	12.19263011	10.30701041	11.70169953
FBtr0070040	13.81308027	13.80926998	13.88742688	13.83320681	13.88136278	13.67398755	13.87516599	13.84700841	13.78130148	13.96510896	13.69743243	14.01330474
FBtr0070042	10.3271438	11.62233095	12.80118683	12.94075005	11.14508321	12.58771126	11.2080055	11.30217246	11.92907614	13.8500147	13.57099076	13.73845969
FBtr0070045	7.117229582	8.985230298	9.663888765	9.655825314	7.510729361	9.324523737	10.15022011	9.783541942	10.70741884	11.85105001	11.79231614	10.34622661
FBtr0070046	7.422940212	8.292207501	7.550998369	7.36072157	6.804584092	7.384130127	9.751772496	9.459062291	10.74654422	10.66832942	10.70571428	4.80006639
FBtr0070047	14.08149042	14.08326666	13.92031848	14.03214987	13.94675257	13.9018015	14.10602548	14.24853624	13.93199719	14.13157517	14.1684978	14.29507682
FBtr0070048	13.92887218	13.88636475	13.93460663	13.98100378	13.9849463	13.94435477	13.99129227	14.01483402	13.94348109	14.05164435	14.00471563	14.26932958
FBtr0070050	11.99623115	11.73228442	11.13268974	10.8384446	11.8368052	11.42730341	7.216089101	6.686842251	6.969241453	6.131177886	6.522981625	5.50987316
