gene	M1F	M2F	M3F	M1M	M2M	M3M	E1F	E2F	E3F	E1M	E2M	E3M
FBgn0051915	776.00	666.09	712.47	430.45	452.30	484.37	457.81	437.35	449.85	327.32	364.42	400.65
FBgn0085293	2.00	13.93	7.03	10.50	13.11	17.51	183.65	340.31	53.86	86.31	157.59	21.98
FBgn0038395	193.00	273.86	284.76	382.62	369.89	358.32	463.96	542.36	461.82	399.06	423.51	357.69
FBgn0034756	799.00	386.43	636.30	235.64	228.49	197.25	212.65	186.11	137.65	199.53	125.85	122.89
FBgn0261436	3125.00	2594.74	2750.29	2417.07	2576.13	2603.93	1985.02	2067.10	2067.71	1895.52	1972.01	2085.18
FBgn0262169	2298.00	2320.87	2119.84	2317.91	2527.44	2560.74	1625.62	1768.00	1527.10	1761.01	1936.99	1874.36
FBgn0087005	26704.00	28141.74	26935.72	34193.58	36636.14	35437.21	31474.70	33706.30	32290.47	35725.66	34655.78	35294.19
FBgn0038652	3754.00	3057.75	3276.44	3205.65	3130.50	3191.01	2452.49	2422.03	2342.01	3209.27	2793.87	2887.48
FBgn0031694	1237.00	1061.80	1134.33	766.42	741.66	818.18	614.22	404.11	647.35	522.36	411.47	624.45
FBgn0004045	1136746.00	830706.30	915573.05	1565.49	1523.58	1797.42	601796.97	575236.32	502613.32	2129.80	1858.20	2017.24
FBgn0053533	1.00	3.48	4.69	3.50	4.68	4.67	8.79	33.23	30.92	44.84	27.36	18.98
FBgn0029863	1870.00	1657.10	1307.76	716.25	712.63	722.47	1029.85	1050.16	1059.29	621.00	566.87	594.48
FBgn0020372	14097.00	15068.26	14714.69	19294.55	20422.71	21461.68	18040.90	23176.73	21756.39	20564.87	23783.44	22166.65
FBgn0033308	406.00	337.69	404.28	817.74	354.91	700.29	898.05	1532.71	1601.91	151.33	276.87	202.82
FBgn0027497	1892.00	1665.23	1783.53	2124.27	2070.46	1973.66	1394.52	1470.23	1333.59	1707.20	1800.20	1721.50
FBgn0035246	19966.00	21086.28	20735.56	25877.32	26360.64	25882.87	23383.49	24494.09	24875.42	27985.53	30506.02	29724.05
FBgn0033422	139.00	215.84	188.66	438.62	245.35	274.28	447.27	502.48	338.14	506.67	557.02	460.60
FBgn0015010	45.00	48.74	104.29	59.49	176.99	193.75	215.29	360.25	575.53	600.83	757.29	214.81
FBgn0000054	2226.00	2272.13	2234.68	2643.38	2778.40	2764.99	2564.09	2626.74	2804.83	3027.67	2958.02	3032.35
