FBID	category	updown
FBgn0000015	other	up
FBgn0000227	other	up
FBgn0000287	other	up
FBgn0000320	other	up
FBgn0000346	other	up
FBgn0000355	other	up
FBgn0000356	other	up
FBgn0000363	other	up
FBgn0000406	other	down
FBgn0000459	other	up
FBgn0000473	other	down
FBgn0000486	other	down
FBgn0000504	other	up
FBgn0000533	other	down
FBgn0000564	other	up
FBgn0000625	other	up
FBgn0000636	other	up
FBgn0000639	other	up
FBgn0000675	other	down
FBgn0000808	other	up
FBgn0001077	other	up
FBgn0001114	other	down
FBgn0001128	other	down
FBgn0001142	other	down
FBgn0001147	other	up
FBgn0001150	other	up
FBgn0001168	other	up
FBgn0001208	other	down
FBgn0001325	other	up
FBgn0002036	other	down
FBgn0002562	other	up
FBgn0002569	other	down
FBgn0002571	other	down
FBgn0002579	other	up
FBgn0002609	other	up
FBgn0002622	other	down
FBgn0002735	other	up
FBgn0003308	other	up
FBgn0003358	other	down
FBgn0003411	other	up
FBgn0003416	other	up
FBgn0003471	other	down
FBgn0003480	other	down
FBgn0003710	other	down
FBgn0003716	other	down
FBgn0003749	other	up
FBgn0003884	other	up
FBgn0003892	other	up
FBgn0004002	other	up
FBgn0004102	other	up
FBgn0004118	other	up
FBgn0004167	other	down
FBgn0004170	other	up
FBgn0004227	other	up
FBgn0004359	other	down
FBgn0004618	other	up
FBgn0004629	other	down
FBgn0004652	other	up
FBgn0004781	other	up
FBgn0004882	other	up
FBgn0004893	other	up
FBgn0004897	other	up
FBgn0004898	other	up
FBgn0005427	other	up
FBgn0005626	other	up
FBgn0005654	other	down
FBgn0005677	other	up
FBgn0008649	other	up
FBgn0008654	other	up
FBgn0010015	other	up
FBgn0010051	other	up
FBgn0010246	other	down
FBgn0010389	other	up
FBgn0010433	other	up
FBgn0010470	other	down
FBgn0011280	other	down
FBgn0011283	other	down
FBgn0011556	other	up
FBgn0011591	other	up
FBgn0011723	other	up
FBgn0011746	other	up
FBgn0011754	other	down
FBgn0011758	other	up
FBgn0011832	other	up
FBgn0012037	other	down
FBgn0013733	other	down
FBgn0013767	other	up
FBgn0013770	other	down
FBgn0013810	other	up
FBgn0013812	other	up
FBgn0013949	other	up
FBgn0013953	other	down
