id	tissue	updown
FBgn0012344	abd	down
FBgn0013720	abd	down
FBgn0021979	abd	down
FBgn0027598	abd	down
FBgn0031392	abd	down
FBgn0032198	abd	down
FBgn0033159	abd	down
FBgn0033968	abd	down
FBgn0037297	abd	down
FBgn0038224	abd	down
FBgn0041605	abd	down
FBgn0052452	abd	down
FBgn0052803	abd	down
FBgn0052831	abd	down
FBgn0053861	abd	down
FBgn0086604	abd	down
FBgn0261564	abd	down
FBgn0000287	abd	up
FBgn0000625	abd	up
FBgn0011224	abd	up
FBgn0015615	abd	up
FBgn0025643	abd	up
FBgn0028369	abd	up
FBgn0029658	abd	up
FBgn0031191	abd	up
FBgn0031774	abd	up
FBgn0032796	abd	up
FBgn0033229	abd	up
FBgn0033572	abd	up
FBgn0034158	abd	up
FBgn0034237	abd	up
FBgn0035397	abd	up
FBgn0035917	abd	up
FBgn0037410	abd	up
FBgn0038475	abd	up
FBgn0039049	abd	up
FBgn0039109	abd	up
FBgn0039250	abd	up
FBgn0040028	abd	up
FBgn0041237	abd	up
FBgn0041243	abd	up
FBgn0041605	abd	up
FBgn0052819	abd	up
FBgn0053156	abd	up
FBgn0063923	abd	up
FBgn0266268	abd	up
FBgn0003612	ht	down
FBgn0004240	ht	down
FBgn0015615	ht	down
FBgn0024987	ht	down
FBgn0029522	ht	down
FBgn0029835	ht	down
FBgn0030362	ht	down
FBgn0030813	ht	down
FBgn0031774	ht	down
FBgn0032515	ht	down
FBgn0033159	ht	down
FBgn0033644	ht	down
FBgn0033725	ht	down
FBgn0033968	ht	down
FBgn0034394	ht	down
FBgn0035397	ht	down
FBgn0035464	ht	down
FBgn0036911	ht	down
FBgn0036915	ht	down
FBgn0038167	ht	down
FBgn0038475	ht	down
FBgn0039111	ht	down
FBgn0045770	ht	down
FBgn0052473	ht	down
FBgn0052813	ht	down
FBgn0085207	ht	down
FBgn0260942	ht	down
FBgn0264357	ht	down
FBgn0000083	ht	up
FBgn0003317	ht	up
FBgn0016120	ht	up
FBgn0032923	ht	up
FBgn0034157	ht	up
FBgn0036090	ht	up
FBgn0038306	ht	up
FBgn0042125	ht	up
FBgn0051219	ht	up
FBgn0085431	ht	up
FBgn0086848	ht	up
FBgn0262735	ht	up
FBgn0263102	ht	up
FBgn0264751	ht	up
FBgn0264816	ht	up
FBgn0278608	ht	up
