gene	tissue
FBgn0082796	testis
FBgn0081205	testis
FBgn0073882	testis
FBgn0246515	testis
FBgn0243575	testis
FBgn0246630	testis
FBgn0246631	testis
FBgn0046148	testis
FBgn0064417	testis
FBgn0012694	testis
FBgn0262083	testis
FBgn0243570	testis
FBgn0076394	testis
FBgn0243539	testis
FBgn0079231	testis
FBgn0248819	testis
FBgn0073149	testis
FBgn0020475	testis
FBgn0243576	testis
FBgn0014783	testis
FBgn0079975	testis
FBgn0262676	testis
FBgn0083516	testis
FBgn0070061	testis
FBgn0070068	testis
FBgn0070082	testis
FBgn0070087	testis
FBgn0070094	testis
FBgn0070096	testis
FBgn0070101	testis
FBgn0070102	testis
FBgn0070112	testis
FBgn0070114	testis
FBgn0070122	testis
FBgn0070128	testis
FBgn0070133	testis
FBgn0070137	testis
FBgn0070141	testis
FBgn0070153	testis
FBgn0070161	testis
FBgn0070165	testis
FBgn0070168	testis
FBgn0070172	testis
FBgn0070177	testis
FBgn0070178	testis
FBgn0070183	testis
FBgn0070192	testis
FBgn0070193	testis
FBgn0070194	testis
FBgn0070198	testis
FBgn0070210	testis
FBgn0070224	testis
FBgn0070236	testis
FBgn0070251	testis
FBgn0070257	testis
FBgn0070260	testis
FBgn0070262	testis
FBgn0070263	testis
FBgn0070272	testis
FBgn0070284	testis
FBgn0070288	testis
FBgn0070293	testis
FBgn0070298	testis
FBgn0070319	testis
FBgn0070325	testis
FBgn0070334	testis
FBgn0070340	testis
FBgn0070347	testis
FBgn0070348	testis
FBgn0070359	testis
FBgn0070365	testis
FBgn0070366	testis
FBgn0070398	testis
FBgn0070403	testis
FBgn0070409	testis
FBgn0070416	testis
FBgn0070419	testis
FBgn0070427	testis
FBgn0070439	testis
FBgn0070442	testis
FBgn0070446	testis
FBgn0070452	testis
FBgn0070455	testis
FBgn0070457	testis
FBgn0070461	testis
FBgn0070462	testis
FBgn0070466	testis
FBgn0070468	testis
FBgn0070469	testis
FBgn0070474	testis
FBgn0070477	testis
FBgn0070483	testis
FBgn0070496	testis
FBgn0070498	testis
FBgn0070532	testis
FBgn0070561	testis
FBgn0070562	testis
FBgn0070579	testis
FBgn0070580	testis
FBgn0070597	testis
FBgn0070598	testis
FBgn0070599	testis
FBgn0070608	testis
FBgn0070626	testis
FBgn0070632	testis
FBgn0070636	testis
FBgn0070638	testis
FBgn0070642	testis
FBgn0070643	testis
FBgn0070644	testis
FBgn0070647	testis
FBgn0070652	testis
FBgn0070658	testis
FBgn0070660	testis
FBgn0070666	testis
FBgn0070667	testis
FBgn0070680	testis
FBgn0070681	testis
FBgn0070688	testis
FBgn0070694	testis
FBgn0070696	testis
FBgn0070703	testis
FBgn0070706	testis
FBgn0070715	testis
FBgn0070723	testis
FBgn0070733	testis
FBgn0070735	testis
FBgn0070740	testis
FBgn0070754	testis
FBgn0070762	testis
FBgn0070766	testis
FBgn0070768	testis
FBgn0070770	testis
FBgn0070776	testis
FBgn0070780	testis
FBgn0070782	testis
FBgn0070800	testis
FBgn0070814	testis
FBgn0070821	testis
FBgn0070826	testis
FBgn0070840	testis
FBgn0070843	testis
FBgn0070852	testis
FBgn0070860	testis
FBgn0070861	testis
FBgn0070872	testis
FBgn0070874	testis
FBgn0070887	testis
FBgn0070892	testis
FBgn0070893	testis
FBgn0070896	testis
FBgn0070907	testis
FBgn0070910	testis
FBgn0070921	testis
FBgn0070923	testis
FBgn0070935	testis
FBgn0070944	testis
FBgn0070947	testis
FBgn0070954	testis
FBgn0070961	testis
FBgn0070971	testis
FBgn0070977	testis
FBgn0070978	testis
FBgn0070980	testis
FBgn0070983	testis
FBgn0070988	testis
FBgn0070999	testis
FBgn0071004	testis
FBgn0071006	testis
FBgn0071011	testis
FBgn0071016	testis
FBgn0071017	testis
FBgn0071024	testis
FBgn0071029	testis
FBgn0071035	testis
FBgn0071054	testis
FBgn0071067	testis
FBgn0071080	testis
FBgn0071083	testis
FBgn0071085	testis
FBgn0071093	testis
FBgn0071094	testis
FBgn0071112	testis
FBgn0071114	testis
FBgn0071115	testis
FBgn0071116	testis
FBgn0071117	testis
FBgn0071122	testis
FBgn0071135	testis
FBgn0071140	testis
FBgn0071143	testis
FBgn0071153	testis
FBgn0071163	testis
FBgn0071164	testis
FBgn0071165	testis
FBgn0071169	testis
FBgn0071172	testis
FBgn0071183	testis
FBgn0071189	testis
FBgn0071190	testis
FBgn0071201	testis
FBgn0071204	testis
FBgn0071206	testis
FBgn0071211	testis
FBgn0071214	testis
FBgn0071218	testis
FBgn0071223	testis
FBgn0071241	testis
FBgn0071248	testis
FBgn0071249	testis
