dpse	dmel
FBgn0011563	NA
FBgn0012689	FBgn0000056
FBgn0012690	FBgn0000071
FBgn0012691	FBgn0000079
FBgn0012692	FBgn0000079
FBgn0012694	FBgn0000109
FBgn0012695	FBgn0000439
FBgn0012696	FBgn0000567
FBgn0012698	FBgn0001091
FBgn0012699	FBgn0001112
FBgn0012701	FBgn0001233
FBgn0012704	FBgn0002626
FBgn0012706	FBgn0002772
FBgn0012707	FBgn0003046
FBgn0012708	FBgn0003248
FBgn0012709	FBgn0003249
FBgn0012710	FBgn0003250
FBgn0012711	FBgn0003339
FBgn0012714	FBgn0262473
FBgn0012716	FBgn0003961
FBgn0012717	FBgn0000053
FBgn0012723	FBgn0001077
FBgn0012725	FBgn0002121
FBgn0012727	FBgn0002522
FBgn0012733	FBgn0002940
FBgn0012735	FBgn0003068
FBgn0012736	FBgn0003308
FBgn0013862	NA
FBgn0013863	FBgn0004034
FBgn0014783	NA
FBgn0015144	NA
FBgn0015151	FBgn0001280
FBgn0016313	FBgn0003462
FBgn0018538	FBgn0005558
FBgn0018547	FBgn0000490
FBgn0020474	FBgn0000606
FBgn0020475	FBgn0000577
FBgn0022538	FBgn0003277
FBgn0022854	FBgn0004643
FBgn0023293	FBgn0262512
FBgn0023294	FBgn0086355
FBgn0023295	FBgn0004516
FBgn0023296	FBgn0000579
FBgn0023297	FBgn0004432
FBgn0027807	FBgn0003655
FBgn0046148	FBgn0000075
FBgn0061259	FBgn0034197
FBgn0061260	FBgn0034194
FBgn0061261	FBgn0034196
FBgn0061263	FBgn0040477
FBgn0062298	FBgn0011656
FBgn0062741	FBgn0001180
FBgn0064047	FBgn0003416
FBgn0064414	FBgn0003701
FBgn0064416	FBgn0038659
FBgn0064417	FBgn0000099
FBgn0064419	FBgn0014006
FBgn0064420	NA
FBgn0064421	FBgn0036671
FBgn0064422	FBgn0261705
FBgn0064423	FBgn0035056
FBgn0064424	NA
FBgn0064425	FBgn0038772
FBgn0064426	FBgn0259741
FBgn0064427	FBgn0038738
FBgn0064431	FBgn0035057
FBgn0064435	FBgn0050421
FBgn0064437	FBgn0038654
FBgn0064438	FBgn0038655
FBgn0064439	FBgn0038658
FBgn0064440	FBgn0038660
FBgn0064441	FBgn0033468
FBgn0064442	FBgn0259794
FBgn0064443	FBgn0033471
FBgn0064444	FBgn0033466
FBgn0064447	FBgn0038742
FBgn0064448	FBgn0027619
FBgn0067207	FBgn0035851
FBgn0067543	FBgn0003087
FBgn0068730	FBgn0045823
FBgn0068735	FBgn0046878
FBgn0068743	FBgn0027280
FBgn0068744	NA
FBgn0070060	FBgn0039595
FBgn0070061	FBgn0000659
FBgn0070062	FBgn0037972
FBgn0070063	FBgn0036461
FBgn0070064	FBgn0260744
FBgn0070065	FBgn0026400
FBgn0070066	FBgn0039590
FBgn0070068	FBgn0038000
FBgn0070069	FBgn0024244
FBgn0070071	FBgn0037338
FBgn0070072	FBgn0031568
FBgn0070073	FBgn0004893
FBgn0070075	FBgn0032785
FBgn0070076	FBgn0037498
FBgn0070079	FBgn0000721
FBgn0070080	FBgn0000964
FBgn0070081	FBgn0038028
FBgn0070082	FBgn0015524
FBgn0070083	FBgn0086680
FBgn0070084	FBgn0038013
FBgn0070086	FBgn0004635
FBgn0070087	FBgn0038014
FBgn0070089	FBgn0015803
FBgn0070090	FBgn0001149
FBgn0070092	FBgn0037492
FBgn0070093	FBgn0034437
FBgn0070094	FBgn0020617
FBgn0070095	FBgn0037490
FBgn0070096	FBgn0037482
FBgn0070097	FBgn0037481
FBgn0070098	FBgn0001104
FBgn0070101	FBgn0035727
FBgn0070102	FBgn0035724
FBgn0070105	FBgn0037473
FBgn0070107	FBgn0000575
FBgn0070108	FBgn0016726
FBgn0070109	FBgn0261445
FBgn0070110	FBgn0034440
FBgn0070111	FBgn0035722
FBgn0070112	FBgn0003475
FBgn0070114	FBgn0041194
FBgn0070115	FBgn0003731
FBgn0070116	FBgn0034641
FBgn0070117	FBgn0034440
FBgn0070119	FBgn0036372
FBgn0070120	NA
FBgn0070121	FBgn0037517
FBgn0070122	FBgn0036369
FBgn0070123	FBgn0261243
FBgn0070124	FBgn0038020
FBgn0070125	FBgn0037526
FBgn0070128	FBgn0037993
FBgn0070129	FBgn0037472
FBgn0070132	FBgn0035715
FBgn0070133	FBgn0033933
FBgn0070134	FBgn0033935
FBgn0070135	FBgn0029506
FBgn0070136	NA
FBgn0070137	FBgn0013725
FBgn0070138	FBgn0001332
FBgn0070139	FBgn0024698
FBgn0070140	FBgn0033942
FBgn0070141	FBgn0037502
FBgn0070142	FBgn0036367
FBgn0070143	FBgn0020245
FBgn0070144	FBgn0005626
FBgn0070145	FBgn0010397
FBgn0070146	FBgn0002719
FBgn0070147	FBgn0035710
FBgn0070148	FBgn0019938
FBgn0070149	FBgn0040268
FBgn0070151	FBgn0024177
FBgn0070153	FBgn0003742
FBgn0070154	FBgn0002926
FBgn0070155	FBgn0010638
FBgn0070156	FBgn0033949
FBgn0070157	FBgn0032798
FBgn0070158	FBgn0036366
FBgn0070159	FBgn0038087
FBgn0070160	FBgn0032800
FBgn0070161	FBgn0005778
FBgn0070162	FBgn0028567
FBgn0070164	FBgn0035076
FBgn0070165	FBgn0033952
FBgn0070166	FBgn0035704
FBgn0070167	FBgn0020269
FBgn0070168	FBgn0012042
FBgn0070172	NA
FBgn0070173	FBgn0039089
FBgn0070174	FBgn0033962
FBgn0070176	FBgn0020767
FBgn0070177	FBgn0039099
FBgn0070178	FBgn0031871
FBgn0070179	FBgn0015602
FBgn0070180	FBgn0001258
FBgn0070182	FBgn0035697
FBgn0070183	FBgn0039088
FBgn0070184	FBgn0032801
FBgn0070185	FBgn0032799
FBgn0070186	FBgn0039086
FBgn0070187	FBgn0035294
FBgn0070189	FBgn0036353
FBgn0070191	FBgn0039084
FBgn0070192	FBgn0032682
FBgn0070193	FBgn0039083
FBgn0070194	FBgn0032684
FBgn0070195	FBgn0004513
FBgn0070197	FBgn0039094
FBgn0070198	FBgn0038397
FBgn0070199	FBgn0032797
FBgn0070200	FBgn0032796
FBgn0070201	FBgn0032793
FBgn0070203	FBgn0036354
FBgn0070205	FBgn0032790
FBgn0070208	FBgn0039120
FBgn0070209	FBgn0033968
FBgn0070210	FBgn0033969
FBgn0070212	FBgn0033970
FBgn0070214	FBgn0016684
FBgn0070215	FBgn0039118
FBgn0070216	FBgn0033971
FBgn0070217	FBgn0037443
FBgn0070218	FBgn0039117
FBgn0070219	FBgn0032685
FBgn0070220	FBgn0027783
FBgn0070221	FBgn0039115
FBgn0070222	FBgn0028434
FBgn0070224	FBgn0039112
FBgn0070225	FBgn0053505
FBgn0070226	FBgn0028475
FBgn0070228	FBgn0003732
FBgn0070229	FBgn0039110
FBgn0070232	FBgn0040208
FBgn0070233	FBgn0028691
FBgn0070236	FBgn0087005
FBgn0070237	FBgn0024230
FBgn0070238	FBgn0002526
FBgn0070239	FBgn0032783
FBgn0070240	FBgn0039280
FBgn0070241	FBgn0027514
FBgn0070242	FBgn0013773
FBgn0070248	FBgn0013771
FBgn0070249	FBgn0039519
FBgn0070251	FBgn0002922
FBgn0070252	FBgn0043005
FBgn0070256	FBgn0033984
FBgn0070257	FBgn0033985
FBgn0070258	FBgn0261922
FBgn0070259	NA
FBgn0070260	FBgn0032813
FBgn0070261	FBgn0032812
FBgn0070262	FBgn0038394
FBgn0070263	FBgn0033990
FBgn0070264	FBgn0037446
FBgn0070265	FBgn0032811
FBgn0070266	FBgn0022935
FBgn0070267	FBgn0022699
FBgn0070268	FBgn0264495
FBgn0070269	FBgn0035690
FBgn0070270	FBgn0032683
FBgn0070272	FBgn0038391
FBgn0070273	FBgn0003261
FBgn0070275	FBgn0037395
FBgn0070277	FBgn0032681
FBgn0070279	FBgn0037439
FBgn0070280	FBgn0026077
FBgn0070281	FBgn0035688
FBgn0070282	FBgn0264491
FBgn0070283	FBgn0014001
FBgn0070284	FBgn0037436
FBgn0070285	FBgn0020765
FBgn0070286	FBgn0037432
FBgn0070287	FBgn0039107
FBgn0070288	FBgn0039106
FBgn0070289	FBgn0032679
FBgn0070290	FBgn0037412
FBgn0070291	FBgn0261597
FBgn0070293	FBgn0034655
FBgn0070295	FBgn0038418
FBgn0070296	FBgn0038420
FBgn0070297	FBgn0034858
FBgn0070298	FBgn0038423
FBgn0070299	FBgn0034650
FBgn0070300	FBgn0034645
FBgn0070301	FBgn0034643
FBgn0070302	FBgn0038454
FBgn0070304	FBgn0038453
FBgn0070305	FBgn0025790
FBgn0070306	FBgn0032690
FBgn0070308	FBgn0036271
FBgn0070309	FBgn0032698
FBgn0070310	FBgn0032805
FBgn0070311	FBgn0032700
FBgn0070312	FBgn0034972
FBgn0070315	FBgn0032701
FBgn0070316	FBgn0027109
FBgn0070317	FBgn0032703
FBgn0070318	FBgn0034729
FBgn0070319	FBgn0027562
FBgn0070320	FBgn0032705
FBgn0070321	FBgn0030342
FBgn0070322	FBgn0032707
FBgn0070325	FBgn0030349
FBgn0070326	FBgn0031868
FBgn0070327	FBgn0035453
FBgn0070329	FBgn0003231
FBgn0070330	FBgn0036208
FBgn0070331	FBgn0030358
FBgn0070332	FBgn0041180
FBgn0070333	FBgn0027949
FBgn0070334	FBgn0039109
FBgn0070335	FBgn0032814
FBgn0070336	FBgn0263782
FBgn0070337	FBgn0032706
FBgn0070338	FBgn0028684
FBgn0070339	FBgn0039111
FBgn0070340	FBgn0025608
FBgn0070342	FBgn0039114
FBgn0070343	FBgn0039116
FBgn0070344	FBgn0032702
FBgn0070345	FBgn0004838
FBgn0070346	FBgn0015513
FBgn0070347	FBgn0025878
FBgn0070348	FBgn0032699
FBgn0070349	FBgn0034731
FBgn0070351	FBgn0015553
FBgn0070353	FBgn0032693
FBgn0070354	FBgn0003270
FBgn0070355	FBgn0033019
FBgn0070356	FBgn0031877
FBgn0070357	FBgn0038431
FBgn0070358	FBgn0038426
FBgn0070359	FBgn0038395
FBgn0070360	FBgn0032689
FBgn0070361	FBgn0032691
FBgn0070362	FBgn0015828
FBgn0070363	FBgn0036277
FBgn0070364	FBgn0036850
FBgn0070365	FBgn0039296
FBgn0070366	FBgn0039294
FBgn0070367	FBgn0000158
FBgn0070368	FBgn0039300
FBgn0070369	FBgn0039304
FBgn0070370	FBgn0036273
FBgn0070371	FBgn0032724
FBgn0070372	FBgn0032730
FBgn0070373	FBgn0034638
FBgn0070374	FBgn0037539
FBgn0070375	FBgn0011279
