FBID	CG	name	GO
"FBgn0000015"	"CG11648"	"Abd-B"	"specific RNA polymerase II transcription factor nucleus determination of anterior/posterior axis, embryo specification of segmental identity, abdomen gonad development genital disc metamorphosis negative regulation of salivary gland determination"
"FBgn0000047"	"CG5178"	"Act88F"	"actin filament cytoskeleton organization and biogenesis structural constituent of cytoskeleton"
"FBgn0000064"	"CG6058"	"Ald"	"fructose-bisphosphate aldolase glycolysis"
"FBgn0000078"	"CG17876"	"Amy-d "	"calcium ion binding alpha-amylase"
"FBgn0000116"	"CG32031"	"Argk"	"arginine kinase"
"FBgn0000227"	""	"Bsg25A"	""
"FBgn0000256"	"CG3399"	"capu"	"actin binding pole plasm RNA localization pole plasm assembly eggshell formation"
"FBgn0000261"	"CG6871"	"Cat"	"determination of adult life span heme binding calcium-dependent cell adhesion molecule response to oxidative stress plasma membrane peroxisome catalase catalase reaction response to hydrogen peroxide"
"FBgn0000276"	"CG1365"	"CecA1"	"antibacterial peptide Gram-negative antibacterial peptide Gram-positive antibacterial peptide antifungal peptide extracellular antibacterial humoral response (sensu Invertebrata)"
"FBgn0000277"	"CG1367"	"CecA2"	"antibacterial peptide Gram-negative antibacterial peptide Gram-positive antibacterial peptide antifungal peptide antibacterial humoral response (sensu Invertebrata)"
"FBgn0000278"	"CG1878"	"CecB"	"antibacterial peptide Gram-negative antibacterial peptide Gram-positive antibacterial peptide antifungal peptide extracellular antibacterial humoral response (sensu Invertebrata)"
"FBgn0000287"	"CG4881"	"salr"	"specific RNA polymerase II transcription factor nucleus"
"FBgn0000320"	""	"cli"	""
"FBgn0000346"	"CG1618"	"comt"	"ATPase cytoplasm neurotransmitter secretion synaptic vesicle priming Golgi organization and biogenesis ER to Golgi transport"
"FBgn0000355"	"CG6519"	"Cp15"	"insect chorion formation structural constituent of chorion (sensu Insecta)"
"FBgn0000356"	"CG6533"	"Cp16"	"insect chorion formation structural constituent of chorion (sensu Insecta)"
"FBgn0000358"	"CG6524"	"Cp19"	"structural constituent of chorion (sensu Insecta) insect chorion formation"
"FBgn0000363"	"CG31243"	"cpo"	"peripheral nervous system development nucleus RNA binding"
"FBgn0000406"	"CG2140"	"Cyt-b5"	"electron transporter microsome membrane electron transport"
"FBgn0000409"	"NA"	"Cyt-c2"	"NA"
"FBgn0000422"	"CG10697"	"Ddc"	"aromatic-L-amino acid decarboxylase learning and/or memory courtship behavior eclosion rhythm dopamine biosynthesis from tyrosine serotonin biosynthesis from tryptophan catecholamine metabolism"
"FBgn0000459"	"CG9908"	"disco"	"circadian rhythm brain development nucleus transcription factor locomotor rhythm eclosion rhythm"
