"gid"	"chr"	"start"	"end"	"length_aef"	"gname"
"FBgn0011563"	"3_"	11843071	11844018	789	"Dpse\Amy3"
"FBgn0012689"	"4_group1"	3220340	3221542	837	"Dpse\Adhr"
"FBgn0012690"	"2_"	19798007	19799355	1349	"Dpse\Ama"
"FBgn0012691"	"3_"	11853155	11869838	1710	"Dpse\Amy1"
"FBgn0012692"	"3_"	11848874	11850533	1589	"Dpse\Amy2"
"FBgn0012694"	"XR_group6"	5063464	5066965	303	"Dpse\Aprt"
"FBgn0012695"	"2_"	19764780	19775316	1815	"Dpse\Dfd"
"FBgn0012696"	"XR_group6"	2218802	2257648	2418	"Dpse\Eip74EF"
"FBgn0012698"	"Unknown_group_53"	3239	4237	999	"Dpse\Gapdh2"
"FBgn0012699"	"2_"	26508628	26512678	1839	"Dpse\Gld"
"FBgn0012701"	"XR_group6"	4030869	4033022	2154	"Dpse\Hsp83"
"FBgn0012704"	"2_"	978884	979746	791	"Dpse\RpL32"
"FBgn0012706"	"2_"	3840492	3842839	512	"Dpse\Mlc1"
"FBgn0012707"	"4_group1"	3628580	3629991	753	"Dpse\Pcp"
"FBgn0012708"	"2_"	14856307	14857642	1146	"Dpse\Rh2"
"FBgn0012709"	"2_"	27778432	27779628	1197	"Dpse\Rh3"
"FBgn0012710"	"XR_group8"	4662697	4671866	1143	"Dpse\Rh4"
"FBgn0012711"	"2_"	19715810	19732391	1281	"Dpse\Scr"
"FBgn0012714"	"2_"	4803625	4807035	3328	"Dpse\Tl"
"FBgn0012716"	"4_group3"	1666378	1667480	1041	"Dpse\Uro"
"FBgn0012717"	"4_group1"	3627371	3637669	4095	"Dpse\ade3"
"FBgn0012723"	"2_"	19691738	19693242	1404	"Dpse\ftz"
"FBgn0012725"	"4_group2"	128913	135292	3501	"Dpse\l(2)gl"
"FBgn0012727"	"2_"	19883064	19898454	2119	"Dpse\lab"
"FBgn0012733"	"2_"	26317197	26318883	1122	"Dpse\ninaE"
"FBgn0012735"	"XL_group1e"	605788	610627	3816	"Dpse\per"
"FBgn0012736"	"2_"	11261531	11266780	4032	"Dpse\ry"
"FBgn0013862"	"XL_group1e"	9209634	9211605	1677	"Dpse\run"
"FBgn0013863"	"XL_group1e"	4239270	4244527	1683	"Dpse\y"
"FBgn0014783"	"XL_group1e"	1775987	1777563	1443	"Dpse\exu2"
"FBgn0015144"	"XR_group6"	2520536	2522258	1152	"Dpse\Est-5A"
"FBgn0015151"	"2_"	972683	973252	450	"Dpse\janA"
"FBgn0016313"	"XR_group6"	10665706	10666543	459	"Dpse\Sod"
"FBgn0018538"	"Unknown_group_10"	28512	42051	2691	"Dpse\ey"
"FBgn0018547"	"4_group4"	1726361	1730077	1755	"Dpse\dpp"
"FBgn0020474"	"3_"	10907764	10908913	1080	"Dpse\eve"
"FBgn0020475"	"3_"	4597200	4600525	1731	"Dpse\en"
"FBgn0022538"	"XL_group1a"	6345389	6351504	5670	"Dpse\RpII215"
"FBgn0022854"	"XL_group1e"	7639143	7641441	2157	"Dpse\mit(1)15"
"FBgn0023293"	"3_"	19626389	19626763	375	"Dpse\Vha14"
"FBgn0023294"	"2_"	1547383	1548847	1275	"Dpse\Tpi"
"FBgn0023295"	"XR_group6"	6396043	6404920	1533	"Dpse\Gad1"
"FBgn0023296"	"4_group3"	8441495	8443853	1506	"Dpse\Eno"
"FBgn0023297"	"XL_group1e"	10407170	10409159	681	"Dpse\Cyp1"
"FBgn0027807"	"XL_group1a"	353319	355050	1614	"Dpse\swa"
"FBgn0046148"	"4_group4"	6373453	6378461	1533	"Dpse\amd"
"FBgn0061259"	"3_"	16614414	16615769	1233	"Dpse\GA14025"
"FBgn0061260"	"3_"	16596858	16602112	1497	"Dpse\GA13847"
"FBgn0061261"	"3_"	16611924	16612415	492	"Dpse\GA13843"
"FBgn0061263"	"3_"	8213456	8214229	774	"Dpse\cid"
"FBgn0062298"	"3_"	10969617	10974187	1632	"Dpse\Mef2"
"FBgn0062741"	"2_"	27188798	27196093	2944	"Dpse\hb"
"FBgn0064047"	"XL_group1e"	9829737	9834293	3753	"Dpse\small-wing"
"FBgn0064414"	"3_"	16563715	16568244	4416	"Dpse\thr"
"FBgn0064416"	"2_"	14864114	14865223	1110	"Dpse\endoA"
"FBgn0064417"	"3_"	15116385	15130187	1410	"Dpse\ap"
"FBgn0064419"	"2_"	26320363	26325695	4355	"Dpse\Pk92B"
"FBgn0064420"	"2_"	27816511	27818932	1743	"Dpse\Indy-2"
"FBgn0064421"	"XR_group8"	4672393	4674054	1662	"Dpse\GA22148"
"FBgn0064422"	"3_"	2437811	2438499	612	"Dpse\GA22108"
"FBgn0064423"	"3_"	10880913	10884077	1691	"Dpse\GA21605"
"FBgn0064424"	"2_"	26327040	26328096	939	"Dpse\GA26228"
"FBgn0064425"	"2_"	27801389	27802712	1204	"Dpse\GA18564"
"FBgn0064426"	"2_"	26340730	26342110	540	"Dpse\GA18356"
"FBgn0064427"	"2_"	26342522	26343973	1452	"Dpse\GA18267"
"FBgn0064431"	"3_"	10878538	10879796	1200	"Dpse\GA17747"
"FBgn0064435"	"3_"	10885865	10898226	3873	"Dpse\GA15834"
"FBgn0064437"	"2_"	14834594	14835494	318	"Dpse\GA12887"
"FBgn0064438"	"2_"	14855179	14856092	783	"Dpse\GA12886"
"FBgn0064439"	"2_"	14860858	14861442	510	"Dpse\GA12884"
"FBgn0064440"	"2_"	14868168	14870161	1994	"Dpse\GA12883"
"FBgn0064441"	"3_"	10921049	10922458	1284	"Dpse\GA12807"
"FBgn0064442"	"XR_group8"	4670025	4671047	1023	"Dpse\GA11985"
"FBgn0064443"	"3_"	10916820	10918159	1236	"Dpse\GA11428"
"FBgn0064444"	"3_"	10922701	10925313	1617	"Dpse\GA11425"
"FBgn0064447"	"2_"	26329131	26330493	1218	"Dpse\Arc42"
"FBgn0064448"	"3_"	10919005	10920295	723	"Dpse\Adam"
"FBgn0067207"	"XR_group3a"	121684	126651	2979	"Dpse\Trap100"
"FBgn0067543"	"Unknown_group_525"	2059	3370	504	"Dpse\pim"
"FBgn0068730"	"XR_group8"	2307939	2308788	558	"Dpse\vsg"
"FBgn0068735"	"2_"	15879003	15879882	729	"Dpse\Obp83cd"
"FBgn0068743"	"XL_group1a"	2456982	2461840	2421	"Dpse\GA15301"
"FBgn0068744"	"XR_group8"	8762725	8763488	696	"Dpse\GA12189"
"FBgn0070060"	"2_"	3439547	3446510	1074	"Dpse\GA10001"
"FBgn0070061"	"2_"	15564754	15566199	1446	"Dpse\GA10002"
"FBgn0070062"	"2_"	22571852	22573388	711	"Dpse\GA10003"
"FBgn0070063"	"XR_group6"	745931	751273	1728	"Dpse\GA10004"
"FBgn0070064"	"2_"	22568549	22570053	1311	"Dpse\GA10005"
"FBgn0070065"	"2_"	15548456	15549462	939	"Dpse\GA10006"
"FBgn0070066"	"2_"	3599550	3606158	6336	"Dpse\GA10007"
"FBgn0070068"	"2_"	22845024	22846525	1317	"Dpse\GA10009"
"FBgn0070069"	"4_group3"	5196888	5198427	246	"Dpse\GA10010"
"FBgn0070071"	"2_"	21231587	21234006	2364	"Dpse\GA10012"
"FBgn0070072"	"4_group3"	4972962	4978903	3429	"Dpse\GA10013"
